WifiAccessPoint_0,WifiAccessPoint_1,WifiAccessPoint_2,WifiAccessPoint_3,WifiAccessPoint_4,WifiAccessPoint_5,WifiAccessPoint_6,WifiAccessPoint_7,WifiAccessPoint_8,WifiAccessPoint_9,WifiAccessPoint_10,WifiAccessPoint_11,WifiAccessPoint_12,WifiAccessPoint_13,WifiAccessPoint_14,WifiAccessPoint_15,WifiAccessPoint_16,WifiAccessPoint_17,WifiAccessPoint_18,WifiAccessPoint_19,WifiAccessPoint_20,WifiAccessPoint_21,WifiAccessPoint_22,WifiAccessPoint_23,WifiAccessPoint_24,WifiAccessPoint_25,WifiAccessPoint_26,WifiAccessPoint_27,WifiAccessPoint_28,WifiAccessPoint_29,WifiAccessPoint_30,WifiAccessPoint_31,WifiAccessPoint_32,WifiAccessPoint_33,WifiAccessPoint_34,WifiAccessPoint_35,WifiAccessPoint_36,WifiAccessPoint_37,WifiAccessPoint_38,WifiAccessPoint_39,WifiAccessPoint_40,WifiAccessPoint_41,WifiAccessPoint_42,WifiAccessPoint_43,WifiAccessPoint_44,WifiAccessPoint_45,WifiAccessPoint_46,WifiAccessPoint_47,WifiAccessPoint_48,WifiAccessPoint_49,WifiAccessPoint_50,WifiAccessPoint_51,WifiAccessPoint_52,WifiAccessPoint_53,WifiAccessPoint_54,WifiAccessPoint_55,WifiAccessPoint_56,WifiAccessPoint_57,WifiAccessPoint_58,WifiAccessPoint_59,WifiAccessPoint_60,WifiAccessPoint_61,WifiAccessPoint_62,WifiAccessPoint_63,WifiAccessPoint_64,WifiAccessPoint_65,WifiAccessPoint_66,WifiAccessPoint_67,WifiAccessPoint_68,WifiAccessPoint_69,WifiAccessPoint_70,WifiAccessPoint_71,WifiAccessPoint_72,WifiAccessPoint_73,WifiAccessPoint_74,WifiAccessPoint_75,WifiAccessPoint_76,WifiAccessPoint_77,WifiAccessPoint_78,WifiAccessPoint_79,WifiAccessPoint_80,WifiAccessPoint_81,WifiAccessPoint_82,WifiAccessPoint_83,WifiAccessPoint_84,WifiAccessPoint_85,WifiAccessPoint_86,WifiAccessPoint_87,WifiAccessPoint_88,WifiAccessPoint_89,WifiAccessPoint_90,x,y
-127,-58,-63,-67,-54,-55,-68,-67,-72,-71,-72,-79,-80,-86,-83,null,-71,null,null,null,-72,-81,-79,null,null,null,null,null,null,-95,-87,-74,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-99,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.744272275,0.846756854
-123,null,null,null,null,null,null,null,null,null,null,null,null,-77,-63,-85,-85,null,-83,null,null,null,null,null,null,null,null,-68,null,null,-80,-78,-66,null,null,null,-74,-86,-79,-87,null,null,null,null,-75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.402534259,0.2831114
-120,-68,-63,-58,-67,-73,-73,-70,-82,-70,null,null,null,-58,-65,-49,-48,null,-57,-88,-81,-85,-84,null,-81,-69,null,-57,null,-77,-61,null,-77,null,null,-83,-74,-83,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-76,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.914177927,0.461428028
-125,null,-84,null,null,null,-87,-75,-89,-83,null,-89,null,-80,-57,-68,-67,null,-68,-88,null,null,null,null,-83,-87,null,-61,null,-98,-78,-73,-89,null,null,null,null,null,-85,null,null,null,null,null,-98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.501117439,0.42929534
-133,-75,-75,-84,null,null,null,-67,null,-69,null,-76,null,-59,-50,-77,-59,null,-66,null,null,null,null,null,-74,null,null,-58,null,null,-74,-67,-82,null,null,null,-72,null,null,null,null,null,null,null,-84,-78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.27595843,0.440266218
-134,-89,-66,null,null,null,null,null,null,-64,null,null,null,-56,-45,-53,-52,null,null,null,null,null,null,null,null,null,null,-63,null,null,-51,-58,null,null,null,-79,null,null,-73,-78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.502483998,0.339412794
-133,null,-77,-73,null,null,null,null,null,-90,null,-83,null,-81,-77,-70,-77,null,-83,null,null,null,null,null,null,null,null,-74,null,null,-60,-73,-41,null,null,null,-42,-87,-82,-78,-76,null,null,null,-79,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.335471082,0.109179099
-126,null,-64,null,-71,-84,-68,-62,-76,-59,null,-82,-69,-52,-66,null,-85,null,-49,-77,null,-88,null,-84,-56,-68,null,-72,null,-68,-75,null,-79,null,null,null,-73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-96,null,null,null,null,null,null,null,null,null,null,-84,-91,null,null,null,null,null,null,0.354144373,0.690080762
-124,-79,-65,-64,-64,-79,-77,-78,-82,-71,-67,-85,-89,-79,-80,-64,-59,null,-64,-68,-66,-66,-71,-80,-82,-87,null,null,null,-93,-79,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-86,-87,null,-84,null,null,null,null,null,-95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.706154197,0.625962275
-120,null,null,null,null,null,null,-79,null,-74,null,null,null,-80,-70,-77,null,null,-71,null,null,null,null,null,null,null,null,null,null,null,-58,-57,-44,null,null,null,-46,-73,null,null,null,null,null,null,-63,null,-75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.48847297,0.235864152
-123,-54,-61,-69,-67,-67,-68,-54,-73,-54,-75,-49,-54,-58,-64,null,-68,null,-59,-71,-85,-68,-83,-77,-77,-77,null,-63,null,-63,null,null,null,null,null,null,-73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-91,null,-86,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.203648066,0.804819288
-129,-78,-62,-72,null,null,-69,null,null,null,null,-89,null,-55,-67,-53,-53,null,-83,null,null,null,null,null,null,-68,null,null,null,null,-45,-43,-65,null,null,-74,null,-65,-80,-76,-79,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.50953894,0.339328419
-131,null,-78,null,null,null,null,null,null,-67,null,null,null,-59,-61,-72,-63,null,-55,null,null,null,null,null,null,null,null,-57,null,null,-74,-70,-61,null,null,null,-73,null,-82,null,null,null,null,null,-81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.300151571,0.395478248
-121,null,-91,null,null,null,null,-76,null,-75,null,null,null,-77,-58,-78,-70,null,-71,null,null,null,null,null,-92,-80,null,-73,null,null,-73,-87,-73,null,null,null,-75,-87,-77,-100,null,null,null,null,-92,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.534435999,0.306849277
-121,-63,-71,-71,-61,-62,-78,-62,-71,-78,-70,-70,-56,null,null,null,-70,null,null,null,-57,-78,-58,-73,null,null,-80,null,-80,null,null,-72,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.685343863,0.963094398
-122,-70,-71,-65,-66,-65,-66,-63,-74,-66,-53,-57,-65,null,null,-78,-63,null,null,null,-58,-69,-49,-79,null,null,null,null,-66,null,null,-73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.688459897,0.954909179
-127,-65,-78,-80,-72,-54,-76,-81,-78,-71,-51,-60,-60,-79,null,-81,-92,null,null,null,-79,-72,-78,-75,null,null,-84,null,null,null,-90,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.553353578,0.897168818
-135,null,-83,null,null,null,null,null,null,-82,null,-81,null,-66,-59,-71,-79,null,-69,-85,null,null,null,null,-89,-87,null,-53,null,-95,-65,-80,-69,null,null,null,-75,-86,-75,null,null,null,null,-77,-88,-91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.109608702,0.388162142
-128,-76,-80,-80,null,null,null,null,null,null,null,null,null,-79,-82,-84,-80,null,-84,null,null,null,null,null,null,null,null,null,null,null,-70,-68,-70,null,null,null,-75,-85,-86,-86,null,null,null,null,-85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.913808924,0.043650349
-119,-74,-63,-65,-82,-91,-79,-45,-76,-57,-85,-56,-71,-38,-55,null,-67,null,-44,-64,null,-80,null,null,-77,-70,null,null,null,-74,-82,null,-88,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-84,null,-68,null,null,null,null,null,-96,-92,null,null,null,null,-81,null,null,null,null,-98,-87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.220582298,0.593194166
-131,-71,-77,-57,-62,-58,-80,-66,-71,-72,-52,-64,-58,null,null,-70,-74,-52,null,null,-54,-80,-52,-69,null,null,-87,null,-78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.689885942,0.956311589
-124,-69,-62,-53,-72,-77,-84,-59,-74,-63,-85,-59,-73,-59,-50,-69,-67,null,-52,-69,null,-92,-80,-74,-63,null,null,-61,null,-61,-75,-73,-73,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-90,null,-69,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.390271547,0.612494939
-119,null,null,null,null,null,null,-74,null,-62,null,-93,null,-66,-54,-70,-66,null,-81,null,null,null,null,null,null,-93,null,-70,null,null,-57,-74,-57,null,null,null,-68,-90,-81,null,null,null,null,-75,-84,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.397141388,0.306509765
-123,-81,-69,-64,-77,-79,-83,null,-84,null,null,-96,null,-78,-62,-64,-56,null,null,null,null,null,null,null,-82,null,null,null,null,null,-47,-46,-78,null,null,-84,-68,-79,-83,-81,-74,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.691675249,0.320600742
-126,null,null,null,null,null,null,null,null,null,null,null,null,-86,-80,null,null,null,-78,null,null,null,null,null,null,null,null,null,null,null,-81,null,-69,null,null,null,-61,null,null,null,null,null,null,null,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.255493002,0.248959406
-126,null,-98,null,null,null,null,null,null,-98,null,null,null,-94,-87,-90,-77,null,null,null,null,null,null,null,null,null,null,null,null,null,-71,-74,-69,null,null,null,-63,null,-90,-88,null,null,null,null,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.909575621,0.273300986
-123,-45,-52,-60,-50,-69,-70,-63,-68,-51,-71,-59,-63,-69,-77,-60,-65,null,-69,-81,null,-73,-83,-66,-88,null,null,-76,null,-65,-75,-79,-87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-83,-102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.616927651,0.757745548
-137,-39,-55,-64,-50,-62,-62,-71,-67,-62,-54,-55,null,-69,-83,-72,-71,null,-63,-72,-70,-74,-80,-77,null,-85,-92,null,null,-81,-85,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-89,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.88770102,0.765179867
-129,-78,-61,-64,null,null,-80,null,null,null,null,-73,null,-64,-59,-62,-54,null,-71,null,null,null,null,null,null,-66,null,null,null,null,-49,-49,-70,null,null,-75,null,-66,-83,-72,-70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.53387194,0.339328419
-130,-84,-64,-69,-71,-79,-83,-56,-85,-57,null,-66,null,-43,-52,-67,-64,null,-48,-68,null,-96,-90,-80,-66,-63,null,-51,null,-59,-74,null,-85,null,null,null,-77,null,-81,null,null,null,null,null,-89,null,null,null,null,null,null,null,-87,-93,-81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.361316748,0.487594867
-131,-53,-65,-72,-66,-49,-86,-64,-76,-79,-53,-69,-49,null,null,-75,-70,-55,null,null,-62,-75,-54,-76,null,null,-73,null,-75,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.690303323,0.95672205
-127,null,-74,-73,null,null,null,-78,null,-71,null,-69,null,-61,-50,-75,-56,null,-63,-87,null,null,null,null,-82,-73,null,-55,null,-87,-74,null,-63,null,null,null,-74,null,-81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310769245,0.393989258
-125,-90,-83,-74,null,null,null,-64,null,-65,null,-69,-69,-57,-55,-71,-67,null,-57,-69,null,null,null,null,-66,-74,null,-51,null,-79,-80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-82,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.077239534,0.493197819
-134,-45,-69,-57,-54,-48,-69,-56,null,-60,-58,-60,-55,null,null,-60,-66,null,null,null,-63,null,-59,-70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.686918633,0.87262008
-127,-87,-63,-70,null,null,-72,null,null,null,null,-72,null,-63,-53,-54,-61,null,-78,null,null,null,null,null,null,-78,null,null,null,null,-52,-48,-66,null,null,-74,null,-72,-74,-80,-78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.519272139,0.339328419
-128,null,-83,-87,null,null,null,-76,null,-84,null,null,null,-79,-67,null,-69,null,null,null,null,null,null,null,null,null,null,null,null,null,-61,-64,-34,null,null,null,-51,-84,-87,-72,null,null,null,-80,-81,null,-79,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.564774306,0.07744846
-134,-78,null,null,-73,-69,-88,-85,null,-68,-76,-52,-52,-83,-76,null,-81,null,null,-91,-84,-69,-85,-75,null,null,null,-78,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.36140501,0.889279914
-132,-60,-73,-82,-68,-59,-76,-66,-80,-69,-57,-51,-51,-84,null,-81,null,null,-77,-82,-59,-85,-62,-84,null,null,null,null,-74,null,-81,-88,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-93,null,null,null,-85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.705316394,0.94079651
-127,-75,-62,-62,-81,-92,null,-90,-56,-83,null,-86,null,-73,-85,-64,-60,null,-72,-79,null,null,null,null,null,-88,null,-86,null,null,-79,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-86,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.883746928,0.589710786
-130,-66,-53,-47,-79,-78,-70,-80,-78,-71,null,-76,-81,-78,-81,-58,-56,null,-82,null,-83,-80,-71,null,null,null,null,null,null,null,-79,-74,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.892696788,0.710200745
-127,-61,-63,null,-59,-74,-72,-63,-66,-53,-73,-51,null,-58,-59,null,null,null,-61,-77,-86,-83,-86,-69,-79,-83,null,null,null,-76,-86,null,null,null,null,null,-89,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-84,null,null,null,-85,null,null,null,null,null,null,null,null,null,null,-90,null,null,-91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.354534197,0.756613344
-127,-78,-61,-55,null,null,null,-76,null,-67,null,null,null,null,-52,null,-69,null,-74,null,null,null,null,null,null,null,null,-59,null,null,-48,-49,-55,-86,null,null,-64,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.503108075,0.340181861
-140,null,-80,null,null,null,null,null,null,-61,null,-87,-82,-69,-63,null,-68,null,null,null,null,null,null,null,null,null,null,-75,null,null,-66,-81,-47,null,null,null,-46,null,null,null,null,null,null,null,-66,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.43587268,0.030912377
-130,-85,-76,null,null,null,-72,-72,-84,-70,null,-70,-77,-47,-59,-75,-72,null,-53,-68,null,-82,null,-85,-63,-65,null,-68,null,-73,-73,-84,null,null,null,null,null,null,-92,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-94,null,null,null,null,null,-97,-85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.342466574,0.599658917
